Category,Products
🛒 groceries,"milk,bread,eggs,vegetables,fruits,cheese,yogurt,cereal,pasta,rice,meat,fish,snacks,coffee,tea,flour,sugar,oil,spices,canned goods,frozen foods,baking supplies,condiments,juice,soda,herbs,nuts,seeds,honey,vinegar,sauces,deli meats,tofu,plant-based alternatives,energy drinks,bottled water,ice cream,chocolate,chips,crackers,dried fruits,butter,jam,peanut butter,ketchup,mustard,mayonnaise,salad dressing,pickles,olives,bacon,sausages,ham,turkey,chicken,beef,pork,lamb,shrimp,salmon,tuna,beans,lentils,quinoa,oats,granola,pancake mix,syrup,jelly,almond milk,soy milk,coconut milk,cream,sour cream,whipped cream,cottage cheese,cream cheese,butter,margarine,olive oil,coconut oil,avocado,tomatoes,potatoes,onions,garlic,ginger,lemons,limes,oranges,apples,bananas,grapes,berries,melons,pineapple,mango,peaches,plums,carrots,broccoli,cauliflower,spinach,lettuce,kale,cucumbers,peppers,zucchini,squash,pumpkin,corn,peas,asparagus,mushrooms,celery,radishes,beets,sweet potatoes,yams,tortillas,pita bread,bagels,muffins,cookies,cake mix,pie crust,whey protein,protein bars,meal replacement shakes,vitamins,supplements,probiotics,kombucha,coconut water,sparkling water,beer,wine,spirits,mixers,ice,egg"
💡 utilities,"electricity,water,gas,internet,phone,trash collection,sewage,cable TV,heating,cooling,security system,pest control,lawn care,snow removal,home warranty,solar panel maintenance,generator fuel,water softener salt,air filter replacements,chimney cleaning"
🚗 transportation,"fuel,bus ticket,train ticket,taxi,car maintenance,parking,tolls,bicycle repair,car insurance,car registration,ride-sharing services,public transportation pass,car wash,tire replacement,oil changes,vehicle inspection,driver's license renewal,car rental,motorcycle maintenance,electric vehicle charging"
🎭 entertainment,"movie,concert,restaurant,theater,museum,amusement park,sports event,book,video game,streaming service,hobby supplies,board games,music downloads,magazine subscriptions,outdoor activities,art supplies,crafting materials,musical instruments,photography equipment,camping gear,fishing supplies,party supplies,karaoke machine rental,escape room experiences,cooking classes"
💅 personal care,"haircut,cosmetics,toiletries,gym membership,spa,dental care,skincare products,hair products,nail care,perfume/cologne,shaving supplies,contact lenses,eyeglasses,massage,acupuncture,personal trainer,hair removal,tanning,makeup brushes,face masks,body lotion,sunscreen,deodorant,mouthwash,hand sanitizer"
🏠 home,"rent,mortgage,furniture,home repairs,cleaning supplies,home decor,appliances,bedding,kitchenware,gardening supplies,tools,home insurance,property taxes,window treatments,rugs,artwork,storage solutions,light bulbs,air fresheners,candles,picture frames,throw pillows,plant pots,smoke detectors,carbon monoxide detectors"
📚 education,"tuition,textbooks,school supplies,online courses,tutoring,educational software,language learning materials,professional development courses,stationery,backpack/school bag,calculator,laptop,printer,ink cartridges,USB drives,educational apps,study guides,academic journal subscriptions,research materials,student association fees"
👚 clothing,"shirts,pants,shoes,jackets,underwear,socks,accessories,dresses,suits,sportswear,swimwear,winter wear,formal wear,sleepwear,belts,hats,scarves,gloves,ties,jewelry,watches,handbags,wallets,sunglasses,athletic shoes,dress shoes,boots,sandals,lingerie,maternity wear"
🏥 healthcare,"doctor visits,medication,health insurance,vitamins,first aid supplies,dental care,eye care,mental health services,physical therapy,medical equipment,prescription refills,orthopedic supplies,hearing aids,mobility aids,blood pressure monitor,thermometer,pregnancy tests,contraceptives,allergy medication,pain relievers"
🐾 pets,"pet food,veterinary care,pet toys,pet grooming,pet insurance,pet bedding,leashes/collars,pet treats,litter/waste bags,pet medication,pet boarding,pet carriers,pet clothing,pet bowls,pet cameras,pet dental care products,pet training aids,pet supplements,pet flea/tick prevention,pet shampoo"
🎁 gifts,"birthday presents,holiday gifts,wedding gifts,anniversary presents,graduation gifts,housewarming presents,baby shower gifts,engagement gifts,retirement gifts,thank you gifts,hostess gifts,corporate gifts,teacher appreciation gifts,get well soon gifts,sympathy gifts,Valentine's Day gifts,Mother's Day gifts,Father's Day gifts"
💰 savings,"emergency fund,retirement contributions,investment contributions,vacation savings,major purchase savings,college fund,down payment savings,wedding savings,home renovation savings,car replacement fund,family planning fund,business startup savings,sabbatical fund,inheritance planning"
💳 debt repayment,"credit card payments,student loan payments,personal loan payments,mortgage extra payments,auto loan payments,medical debt payments,tax debt payments,business loan payments,home equity loan payments,payday loan repayments"
📅 subscriptions,"magazine subscriptions,software subscriptions,gym memberships,streaming services,meal kit services,beauty box subscriptions,wine club memberships,audiobook subscriptions,online course platforms,cloud storage services,password manager subscriptions,VPN services,music streaming services,news website subscriptions,professional organization memberships"
🔮 miscellaneous,"postage,printing costs,bank fees,legal fees,charitable donations,membership dues,parking tickets,library fines,passport fees,notary services,storage unit rental,moving expenses,pet sitting,house sitting,tax preparation fees,identity theft protection,travel insurance,extended warranties,lottery tickets,vending machine purchases"
